URL;Aanmaken;Account;Adres;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Shop;Showroom;Thuiswinkel;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Web;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.mediamarkt.nl;1;1304;71;132;0;19650;3007;31;15;85;12;0;31;2;52;346;181;5;3;2;2287;31804;1046;0;945;0;867;1;2;1;8734;100;9;0;1430;9737;0;489;1;1;834;1858689;447
http://www.mend.nl;0;1;1;0;0;0;0;0;3;1;0;0;0;0;24;3;0;2;0;0;49;7;2;0;0;0;0;0;0;0;0;7;4;0;7;0;0;0;0;1;7;22157;42
http://www.mijnpensioenoverzicht.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;2664;8
http://www.monsterboard.nl;158;395;164;0;0;85;10;42;2;0;48;232;479;0;188;14;38;9;0;28;330;402;115;6;43;0;0;17;1;0;0;58;28;0;214;190;0;55;0;2;1096;325294;133
http://www.nationalevacaturebank.nl;8;575;22;0;1;23;7;2;5;15;0;156;234;0;251;18;4;17;0;3;48;191;74;1;148;1;0;0;1;1;0;49;7;19;274;69;10;5;0;0;522;133592;134
http://www.nlarchitects.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;17;0;0;8;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;16366;17
http://www.nldir.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29557;25
http://www.nos.nl;0;0;10;0;0;0;0;0;5;0;0;0;4;0;9;3;0;17;0;2;2;134;8;0;3;2;0;0;0;0;0;2;0;0;9;5;0;3;0;52;16;79263;124
http://www.npo.nl;197;202;21;0;0;2;1;0;5;0;0;196;0;0;17;3;2;8;0;0;4;11;7;0;0;0;0;0;1;1;0;0;0;2;104;3;0;0;0;9;124;125255;100
http://www.nrc.nl;167;181;26;0;0;7;3;2;9;3;189;503;177;0;30;24;23;9;0;0;16;77;19;4;5;0;0;2;64;0;0;3;0;3;927;351;0;1;0;31;30;161049;169
http://www.ns.nl;6;103;94;3;0;1054;818;5;858;10;0;531;1349;0;672;82;16;22;7;10;10;2435;1258;0;14;0;0;0;248;0;0;11;0;8;777;549;0;9;250;117;1009;359430;250
http://www.nu.nl;1;806;16;0;0;4;0;0;29;6;0;0;32;0;184;40;2;28;0;1;1181;177;11;0;16;0;0;437;3;0;0;9;2;7;1396;41;0;27;0;247;15;312042;148
http://www.oefenen.nl;0;50;197;0;0;54;54;0;11;0;0;109;0;0;0;3;0;0;0;0;250;1;1;1;0;0;0;24;0;0;0;0;0;290;192;5;0;0;0;0;8;36069;24
http://www.omroep.nl;104;104;0;0;0;0;0;0;4;0;0;104;0;0;12;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;5;22;68101;55
http://www.onlinegevonden.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;1338;2
http://www.overheid.nl;0;0;43;0;0;0;0;0;0;0;1;35;0;0;1;0;0;7;0;0;0;35;35;0;0;0;0;0;1;0;0;0;0;0;39;0;0;0;0;0;99;6335;35
http://www.partypoker.com;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;208;0;9;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;0;114655;64
http://www.pathe.nl;1;290;9;0;0;11;1;0;1;0;0;717;689;0;19;156;0;232;0;0;0;929;918;0;7;0;0;2;0;0;0;0;0;234;1190;4;0;0;0;121;2;436409;378
http://www.peurders.nl;0;896;64;0;0;0;0;0;0;0;64;64;64;0;384;64;0;0;0;128;2240;0;0;0;64;0;0;0;0;0;0;0;0;0;1280;0;0;0;0;64;192;612104;64
http://www.planet49.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;5
http://www.postnl.nl;1;22;90;19;0;151;10;10;1;1;146;133;103;0;42;20;1;311;10;26;1;114;82;0;48;0;0;717;8;1;1;5;2;1;441;236;0;116;2;10;171;37694;57
http://www.powned.tv;53;106;159;0;0;2;0;0;0;0;0;265;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371;3;0;0;0;0;3;109;26603;81
http://www.psv.nl;0;0;0;0;0;26;26;0;0;0;0;1;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;41;0;0;0;0;2;57;9969;33
http://www.rabobank.nl;0;1;40;0;0;14;5;0;230;1;0;113;188;0;15;103;7;9;80;1;338;116;96;0;3;0;0;0;58;0;0;7;2;0;119;1;0;0;0;3;80;60160;76
http://www.relatieplanet.nl;5;1;39;0;0;0;0;0;1;1;0;39;62;0;1;0;0;8;2;0;2;6;4;0;10;0;19;14;0;0;0;1;0;11;234;19;0;0;0;2;68;34337;38
http://www.rijbewijs.nl;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;3;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;32;8966;32
http://www.rijksoverheid.nl/ministeries/ministerie-van-infrastructuur-en-milieu;0;0;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1137;0;0;0;0;0;0;0;0;0;0;0;0;0;810;0;0;0;0;0;54;18022;59
http://www.rodekruis.nl;0;146;5;0;0;0;0;0;0;0;0;54;0;0;1;1;1;1;0;0;9;40;0;1;6;0;0;0;0;0;0;0;0;0;1616;4;0;2;0;0;82;73293;66
http://www.route.nl;0;592;142;0;0;20;0;0;0;0;0;414;0;0;0;3;2;0;5;4;49;44;2;0;0;0;0;0;0;0;0;2;0;276;1111;290;0;2;0;2;498;150371;138
http://www.routeradar.nl;68;112;43;0;0;0;0;0;0;0;0;66;0;0;4;0;0;4;0;10;66;10;6;1;0;0;0;2;0;1;0;0;0;74;192;0;0;0;0;0;1;45005;40
http://www.rtl.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;206;1
http://www.rtllatenight.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;5546;25
http://www.rtlnieuws.nl;1;25;18;0;0;17;1;0;23;4;0;9;4;0;30;20;1;9;0;1;168;13;9;0;14;0;0;9;0;0;0;6;0;33;287;21;0;5;0;28;163;179581;118
http://www.rtlnieuws.nl;1;25;18;0;0;17;1;0;23;4;0;9;4;0;30;20;1;9;0;1;168;13;9;0;14;0;0;9;0;0;0;6;0;33;287;21;0;5;0;28;163;179581;118
http://www.sidn.nl;0;3;70;0;0;0;0;0;0;0;0;2;3;0;2;0;1;8;7;0;1;5;5;15;2;0;0;2;0;0;0;0;0;17;237;1;0;0;0;1;209;33277;56
http://www.simavi.nl;0;3;7;0;0;0;0;0;1;3;0;0;1;0;2;4;0;5;0;0;1;11;5;2;54;0;0;0;0;0;0;3;0;0;209;0;0;0;0;0;51;22504;50
http://www.snsbank.nl;1;1;35;0;0;0;0;0;93;0;0;51;75;20;1;7;28;0;1;0;6;100;21;0;0;0;0;0;0;0;0;0;0;9;114;55;0;35;0;3;40;21082;31
http://www.spelletjes.nl;1;1194;115;0;2;23;0;20;4;0;0;236;79;0;47;58;32;5;0;4;303;34;32;2;27;0;0;3;2;0;0;4;0;4;767;139;0;11;0;1;91;544766;236
http://www.staatsloterij.nl;18;35;44;0;0;7;2;2;12;7;1;6;198;0;186;264;7;44;0;0;5;10;6;1;0;0;0;1;1;0;0;11;4;7;165;28;3;3;1;10;12;66214;82
http://www.startkwartier.nl;0;4;8;0;0;4;2;0;3;0;0;0;7;0;16;11;2;2;0;0;34;3;3;0;16;0;0;0;0;1;0;1;1;0;53;32;0;2;0;0;5;9568;58
http://www.startlinken.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1
http://www.startpagina.nl;0;5013;392;0;0;4;2;0;4;0;0;4;0;0;928;534;8;0;130;0;8;14;9;0;1212;0;0;0;0;0;0;1;1;910;1824;2146;0;1081;0;0;818;493813;154
http://www.telegraaf.nl;0;3149;101;0;0;9;0;0;22;0;221;210;28;0;330;56;15;9;0;41;3078;177;13;0;238;0;0;16;0;0;0;0;0;2;4402;101;0;11;0;18;311;1239095;226
http://www.tempoteam.nl;87;15;19;0;0;3;0;2;1;1;0;190;25;0;59;4;0;6;2;0;8;194;3;1;0;0;0;1;0;0;0;138;10;0;352;1;0;0;0;1;377;87710;96
http://www.thuisarts.nl;0;0;290;0;0;0;0;0;0;0;0;0;0;0;48;0;0;98;0;0;848;0;0;0;0;0;0;2;0;0;0;0;0;0;643;0;0;0;0;0;205;70163;47
http://www.thuisarts.nl/;0;0;290;0;0;0;0;0;0;0;0;0;0;0;48;0;0;98;0;0;848;0;0;0;0;0;0;2;0;0;0;0;0;0;643;0;0;0;0;0;205;70163;47
http://www.toernooi.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;2;2481;11
http://www.togetherabroad.nl;0;793;0;0;1;5;1;4;0;0;1;0;167;0;33;3;0;1;0;0;254;283;11;0;220;6;0;1;0;0;0;4;0;0;611;5;0;0;0;0;28;449483;191
http://www.traineeshipplaza.nl;45;658;39;0;0;0;0;0;0;5;0;42;15;0;480;5;0;12;0;1;9;499;129;1;5;0;0;1;4;3;0;7;2;85;93;3;0;0;0;0;79;243364;144
http://www.traineeshipplaza.nl;45;658;39;0;0;0;0;0;0;5;0;42;15;0;480;5;0;12;0;1;9;499;129;1;5;0;0;1;4;3;0;7;2;85;93;3;0;0;0;0;79;243364;144
http://www.tvgids.nl;0;535;107;0;0;107;0;107;0;0;0;109;107;0;0;0;0;0;0;0;0;1070;107;214;0;0;0;0;0;0;0;0;0;0;11130;1;0;0;0;0;107;541798;108
http://www.tweakers.net;0;31;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;1;31;31;0;2;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;31;5519;33
http://www.twenga.nl;2;273;6;0;0;12;8;0;0;12;0;146;3;0;158;50;25;0;0;0;130;1716;202;4;966;0;0;4;1;11;0;12;0;0;2181;1813;2;531;0;0;150;231653;144
http://www.twitter.com;0;1642;3;0;0;0;0;0;7;79;0;241;81;1;5;80;4;82;0;1;1395;5;0;0;10;0;0;79;79;0;0;81;1;148;452;1;0;1;0;3;107;201757;144
http://www.uitzendbureau.nl/global/english/jobs;0;2;42;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;43;4;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;0;128;26345;43
http://www.uitzendinggemist.nl;110;110;0;0;0;0;0;0;0;0;0;110;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;1;46;38772;55
http://www.undutchables.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;54063;87
http://www.unique.nl;0;209;220;0;0;5;1;1;0;0;0;1;112;1;74;16;1;13;0;0;58;85;24;11;10;0;0;6;2;0;0;1245;882;7;1258;54;0;3;0;145;330;222254;153
http://www.upc.nl;0;0;42;0;0;83;71;0;82;0;0;149;1204;0;0;0;0;3;0;0;2225;304;149;0;0;0;0;0;0;0;0;0;0;0;289;1;0;1;0;0;298;328880;149
